date,instrument,ticker,open,close,high,low,vah,val,poc,volume,session_start_local,session_end_local
2026-06-23,NVDA,NVDA,202.16000366210938,200.02099609375,203.77000427246094,200.0,203.77000427246094,200.0,201.71009826660156,110602698,09:30,16:00
2026-06-24,NVDA,NVDA,200.07000732421875,199.08999633789062,201.64999389648438,196.5800018310547,201.64999389648438,196.5800018310547,200.6999053955078,105590058,09:30,16:00
2026-06-25,NVDA,NVDA,200.0800018310547,195.74000549316406,200.7899932861328,192.1300048828125,200.7899932861328,192.1300048828125,196.11419677734375,120633978,09:30,16:00
2026-06-01,MSFT,MSFT,465.05999755859375,460.57000732421875,466.32000732421875,458.2699890136719,466.32000732421875,458.2699890136719,463.0299987792969,43742045,09:30,16:00
2026-06-02,MSFT,MSFT,447.16900634765625,441.2900085449219,453.5,440.42999267578125,453.5,440.42999267578125,446.2200012207031,30568005,09:30,16:00
2026-06-03,MSFT,MSFT,438.45001220703125,427.5799865722656,440.3900146484375,424.25,440.3900146484375,424.25,432.17999267578125,31286902,09:30,16:00
2026-06-04,MSFT,MSFT,435.9949951171875,428.0799865722656,436.1499938964844,426.4100036621094,436.1499938964844,426.4100036621094,431.8299865722656,20924173,09:30,16:00
2026-06-05,MSFT,MSFT,428.3399963378906,416.67999267578125,429.4700012207031,414.3999938964844,429.4700012207031,414.3999938964844,416.67999267578125,26122917,09:30,16:00
2026-06-08,MSFT,MSFT,414.1600036621094,411.739990234375,417.159912109375,408.55999755859375,417.159912109375,408.55999755859375,413.0,22942697,09:30,16:00
2026-06-09,MSFT,MSFT,409.0299987792969,403.1000061035156,411.9800109863281,398.4814147949219,411.9800109863281,398.4814147949219,409.8699951171875,27588419,09:30,16:00
2026-06-10,MSFT,MSFT,398.4100036621094,397.26129150390625,405.0400085449219,397.17999267578125,405.0400085449219,397.17999267578125,402.489990234375,23146239,09:30,16:00
2026-06-11,MSFT,MSFT,395.1099853515625,390.0299987792969,396.8500061035156,384.0,396.8500061035156,384.0,389.6650085449219,37509699,09:30,16:00
2026-06-12,MSFT,MSFT,391.4200134277344,390.6700134277344,391.6199951171875,382.2699890136719,391.6199951171875,382.2699890136719,382.5199890136719,30235734,09:30,16:00
2026-06-15,MSFT,MSFT,396.7950134277344,399.9700012207031,401.75,392.8450012207031,401.75,392.8450012207031,396.4367980957031,22858430,09:30,16:00
2026-06-16,MSFT,MSFT,395.7799987792969,393.9200134277344,396.8399963378906,390.69000244140625,396.8399963378906,390.69000244140625,393.92401123046875,23504466,09:30,16:00
2026-06-17,MSFT,MSFT,390.25,378.8699951171875,390.3699951171875,377.3699951171875,390.3699951171875,377.3699951171875,378.8699951171875,33157729,09:30,16:00
2026-06-18,MSFT,MSFT,377.9150085449219,379.04998779296875,381.3699951171875,373.2799987792969,381.3699951171875,373.2799987792969,373.6650085449219,40573893,09:30,16:00
2026-06-22,MSFT,MSFT,375.55999755859375,367.17999267578125,381.6300048828125,367.07000732421875,381.6300048828125,367.07000732421875,367.17999267578125,34720950,09:30,16:00
2026-06-23,MSFT,MSFT,372.32501220703125,373.9049987792969,377.2200012207031,370.69000244140625,377.2200012207031,370.69000244140625,374.8299865722656,30693191,09:30,16:00
2026-06-24,MSFT,MSFT,371.5799865722656,365.45001220703125,378.8800048828125,364.7799987792969,378.8800048828125,364.7799987792969,365.45001220703125,29993365,09:30,16:00
2026-06-25,MSFT,MSFT,362.70001220703125,352.69000244140625,364.2200012207031,349.20001220703125,364.2200012207031,349.20001220703125,352.69000244140625,55984463,09:30,16:00
2026-06-01,AMZN,AMZN,266.2900085449219,261.239990234375,266.6300048828125,260.70001220703125,266.6300048828125,260.70001220703125,262.8949890136719,46046455,09:30,16:00
2026-06-02,AMZN,AMZN,257.1600036621094,256.5,261.2025146484375,254.3699951171875,261.2025146484375,254.3699951171875,254.63389587402344,33338138,09:30,16:00
2026-06-03,AMZN,AMZN,254.6999969482422,249.97000122070312,257.0899963378906,247.7100067138672,257.0899963378906,247.7100067138672,249.97000122070312,43517898,09:30,16:00
2026-06-04,AMZN,AMZN,253.32000732421875,253.91000366210938,255.82989501953125,250.02000427246094,255.82989501953125,250.02000427246094,252.97999572753906,29750868,09:30,16:00
2026-06-05,AMZN,AMZN,254.0,245.97000122070312,256.3800048828125,245.77999877929688,256.3800048828125,245.77999877929688,245.97000122070312,44005814,09:30,16:00
2026-06-08,AMZN,AMZN,246.61000061035156,245.2100067138672,249.4199981689453,243.39500427246094,249.4199981689453,243.39500427246094,247.7449951171875,27251951,09:30,16:00
2026-06-09,AMZN,AMZN,247.6999969482422,244.0399932861328,250.42999267578125,237.0,250.42999267578125,237.0,248.9029998779297,34528381,09:30,16:00
2026-06-10,AMZN,AMZN,243.60499572753906,237.94500732421875,244.0500030517578,237.4499969482422,244.0500030517578,237.4499969482422,237.94500732421875,31041075,09:30,16:00
2026-06-11,AMZN,AMZN,237.92999267578125,241.2899932861328,242.13999938964844,235.17999267578125,242.13999938964844,235.17999267578125,241.2899932861328,34983334,09:30,16:00
2026-06-12,AMZN,AMZN,243.2100067138672,238.52999877929688,243.3300018310547,233.58999633789062,243.3300018310547,233.58999633789062,235.47999572753906,42776834,09:30,16:00
2026-06-15,AMZN,AMZN,245.16400146484375,246.10000610351562,247.80499267578125,244.72999572753906,247.80499267578125,244.72999572753906,246.58999633789062,31476397,09:30,16:00
2026-06-16,AMZN,AMZN,248.0,246.07000732421875,249.50999450683594,245.4510955810547,249.50999450683594,245.4510955810547,247.27499389648438,28066820,09:30,16:00
2026-06-17,AMZN,AMZN,245.00999450683594,237.44000244140625,245.91000366210938,236.63499450683594,245.91000366210938,236.63499450683594,237.44000244140625,35425613,09:30,16:00
2026-06-18,AMZN,AMZN,240.22000122070312,244.3524932861328,245.72999572753906,236.02000427246094,245.72999572753906,236.02000427246094,236.44500732421875,50713988,09:30,16:00
2026-06-22,AMZN,AMZN,240.49000549316406,232.7899932861328,242.0,232.25,242.0,232.25,232.7899932861328,54206231,09:30,16:00
2026-06-23,AMZN,AMZN,232.5500030517578,234.10000610351562,236.8699951171875,232.0,236.8699951171875,232.0,234.71499633789062,41026073,09:30,16:00
2026-06-24,AMZN,AMZN,233.84500122070312,234.35000610351562,242.41990661621094,232.9499969482422,242.41990661621094,232.9499969482422,234.35000610351562,52413609,09:30,16:00
2026-06-25,AMZN,AMZN,231.92999267578125,227.1300048828125,232.25999450683594,225.55499267578125,232.25999450683594,225.55499267578125,227.1300048828125,61171852,09:30,16:00
2026-06-01,META,META,629.4149780273438,600.3699951171875,635.7498779296875,599.530029296875,635.7498779296875,599.530029296875,600.3699951171875,25164190,09:30,16:00
2026-06-02,META,META,603.3499755859375,597.6599731445312,608.8800048828125,596.6799926757812,608.8800048828125,596.6799926757812,599.25,14353497,09:30,16:00
2026-06-03,META,META,602.989990234375,623.1099853515625,624.0999755859375,600.27001953125,624.0999755859375,600.27001953125,609.3350219726562,18477847,09:30,16:00
2026-06-04,META,META,623.6699829101562,627.5399780273438,642.3300170898438,622.5999755859375,642.3300170898438,622.5999755859375,631.27001953125,15573732,09:30,16:00
2026-06-05,META,META,623.4600219726562,592.6400146484375,629.0399780273438,582.9099731445312,629.0399780273438,582.9099731445312,586.6099853515625,24320759,09:30,16:00
2026-06-08,META,META,590.22998046875,585.3350219726562,591.9199829101562,579.219970703125,591.9199829101562,579.219970703125,587.4000244140625,11661885,09:30,16:00
2026-06-09,META,META,591.75,584.5599975585938,597.6300048828125,581.010009765625,597.6300048828125,581.010009765625,595.75927734375,11650978,09:30,16:00
2026-06-10,META,META,580.72998046875,570.7899780273438,591.2999877929688,570.5999755859375,591.2999877929688,570.5999755859375,591.1199951171875,11724095,09:30,16:00
2026-06-11,META,META,565.5700073242188,568.3900146484375,572.1699829101562,557.010009765625,572.1699829101562,557.010009765625,562.2899780273438,13596803,09:30,16:00
2026-06-12,META,META,572.9500122070312,566.7000122070312,576.0700073242188,560.9000244140625,576.0700073242188,560.9000244140625,566.22998046875,11957436,09:30,16:00
2026-06-15,META,META,579.9000244140625,593.489990234375,601.27001953125,579.2974853515625,601.27001953125,579.2974853515625,588.8900146484375,14147463,09:30,16:00
2026-06-16,META,META,593.489990234375,600.2999877929688,605.780029296875,592.0,605.780029296875,592.0,600.2999877929688,9304023,09:30,16:00
2026-06-17,META,META,592.0020141601562,567.4849853515625,593.8099975585938,566.1900024414062,593.8099975585938,566.1900024414062,586.5798950195312,16401192,09:30,16:00
2026-06-18,META,META,572.9550170898438,577.219970703125,580.2150268554688,563.0999755859375,580.2150268554688,563.0999755859375,577.219970703125,26616965,09:30,16:00
2026-06-22,META,META,572.02001953125,563.8499755859375,575.780029296875,559.8099975585938,575.780029296875,559.8099975585938,573.6849975585938,12240906,09:30,16:00
2026-06-23,META,META,562.2449951171875,562.219970703125,572.2000122070312,561.030029296875,572.2000122070312,561.030029296875,568.6599731445312,9972409,09:30,16:00
2026-06-24,META,META,562.1500244140625,557.8049926757812,569.0399780273438,555.55029296875,569.0399780273438,555.55029296875,563.8300170898438,10461761,09:30,16:00
2026-06-25,META,META,555.552978515625,542.8699951171875,556.3400268554688,540.2050170898438,556.3400268554688,540.2050170898438,544.3200073242188,12607668,09:30,16:00
2026-06-01,GOOGL,GOOGL,376.6000061035156,376.3800048828125,378.54998779296875,373.5199890136719,378.54998779296875,373.5199890136719,375.3399963378906,17226879,09:30,16:00
2026-06-02,GOOGL,GOOGL,366.6499938964844,361.8399963378906,373.5400085449219,358.44000244140625,373.5400085449219,358.44000244140625,360.0087890625,40706231,09:30,16:00
2026-06-03,GOOGL,GOOGL,362.0299987792969,359.3999938964844,366.45001220703125,358.0799865722656,366.45001220703125,358.0799865722656,363.6499938964844,43169134,09:30,16:00
2026-06-04,GOOGL,GOOGL,358.8500061035156,372.3299865722656,373.2499084472656,358.29998779296875,373.2499084472656,358.29998779296875,362.7099914550781,31526822,09:30,16:00
2026-06-05,GOOGL,GOOGL,366.3399963378906,368.7174987792969,372.0799865722656,364.1206970214844,372.0799865722656,364.1206970214844,368.7174987792969,29878709,09:30,16:00
2026-06-08,GOOGL,GOOGL,365.1700134277344,363.3299865722656,366.20001220703125,360.5309143066406,366.20001220703125,360.5309143066406,364.7099914550781,21860984,09:30,16:00
2026-06-09,GOOGL,GOOGL,367.0899963378906,363.9599914550781,372.05999755859375,357.30999755859375,372.05999755859375,357.30999755859375,370.9750061035156,23263091,09:30,16:00
2026-06-10,GOOGL,GOOGL,362.9849853515625,356.2850036621094,368.55499267578125,355.2300109863281,368.55499267578125,355.2300109863281,365.5874938964844,26707103,09:30,16:00
2026-06-11,GOOGL,GOOGL,355.92498779296875,357.6600036621094,358.7900085449219,346.3599853515625,358.7900085449219,346.3599853515625,348.1300048828125,29638178,09:30,16:00
2026-06-12,GOOGL,GOOGL,362.6199951171875,359.6700134277344,366.57000732421875,354.94000244140625,366.57000732421875,354.94000244140625,357.3599853515625,20502617,09:30,16:00
2026-06-15,GOOGL,GOOGL,367.9549865722656,369.30999755859375,372.989990234375,366.55999755859375,372.989990234375,366.55999755859375,368.0068054199219,19303458,09:30,16:00
2026-06-16,GOOGL,GOOGL,369.67999267578125,373.2799987792969,375.8500061035156,367.07501220703125,375.8500061035156,367.07501220703125,373.2799987792969,19433546,09:30,16:00
2026-06-17,GOOGL,GOOGL,369.125,363.69000244140625,372.3299865722656,362.0199890136719,372.3299865722656,362.0199890136719,367.760009765625,18439957,09:30,16:00
2026-06-18,GOOGL,GOOGL,365.75,367.989990234375,369.4800109863281,358.6700134277344,369.4800109863281,358.6700134277344,359.4100036621094,25318880,09:30,16:00
2026-06-22,GOOGL,GOOGL,357.875,349.489990234375,358.8699951171875,341.7218933105469,358.8699951171875,341.7218933105469,354.135009765625,41762664,09:30,16:00
2026-06-23,GOOGL,GOOGL,340.67498779296875,346.1199951171875,349.2799987792969,340.20001220703125,349.2799987792969,340.20001220703125,347.30999755859375,25795342,09:30,16:00
2026-06-24,GOOGL,GOOGL,348.9649963378906,345.3599853515625,353.47601318359375,341.92999267578125,353.47601318359375,341.92999267578125,345.3599853515625,34423002,09:30,16:00
2026-06-25,GOOGL,GOOGL,336.7200012207031,343.55999755859375,345.57000732421875,335.8399963378906,345.57000732421875,335.8399963378906,343.55999755859375,34779229,09:30,16:00
